,0,1,2,3,4
0,[[0.65475685]],2,0,[[0.9857969]],False
1,[[0.9857969]],2,0,[[8.65720587e-11]],False
2,[[8.65720587e-11]],2,0,[[1.]],False
3,[[1.]],2,0,[[0.99992515]],False
4,[[0.99992515]],2,0,[[0.0765629]],False
5,[[0.0765629]],2,0,[[0.00075347]],False
6,[[0.00075347]],2,0,[[0.99394079]],False
7,[[0.99394079]],2,0,[[0.74267831]],False
8,[[0.74267831]],2,0,[[7.54327674e-08]],False
9,[[7.54327674e-08]],2,0,[[2.64858247e-17]],False
10,[[2.64858247e-17]],2,0,[[0.00016164]],False
11,[[0.00016164]],2,0,[[0.99998226]],False
12,[[0.99998226]],2,0,[[1.12820935e-08]],False
13,[[1.12820935e-08]],2,0,[[1.]],False
14,[[1.]],2,0,[[9.16623287e-06]],False
15,[[9.16623287e-06]],2,0,[[2.10977366e-18]],False
16,[[2.10977366e-18]],2,0,[[0.99999834]],False
17,[[0.99999834]],2,0,[[0.02765414]],False
18,[[0.02765414]],2,0,[[1.]],False
19,[[1.]],2,0,[[1.]],False
20,[[1.]],2,0,[[0.9437442]],False
21,[[0.9437442]],2,0,[[1.]],False
22,[[1.]],2,0,[[0.37989592]],False
23,[[0.37989592]],2,0,[[0.99997432]],False
24,[[0.99997432]],2,0,[[0.9998493]],False
25,[[0.9998493]],2,0,[[0.89378548]],False
26,[[0.89378548]],2,0,[[6.08297859e-06]],False
27,[[6.08297859e-06]],2,0,[[0.99998379]],False
28,[[0.99998379]],2,0,[[0.02846979]],False
29,[[0.02846979]],2,0,[[0.99998835]],False
30,[[0.99998835]],2,0,[[0.0765629]],False
31,[[0.0765629]],2,0,[[0.51000841]],False
32,[[0.51000841]],2,0,[[0.99989165]],False
33,[[0.99989165]],2,0,[[0.99429058]],False
34,[[0.99429058]],2,0,[[1.10025113e-06]],False
35,[[1.10025113e-06]],2,0,[[1.]],False
36,[[1.]],2,0,[[0.47502705]],False
37,[[0.47502705]],2,0,[[0.96157891]],False
38,[[0.96157891]],2,0,[[0.73302211]],False
39,[[0.73302211]],2,0,[[0.29525534]],False
40,[[0.29525534]],2,0,[[7.19088717e-05]],False
41,[[7.19088717e-05]],2,0,[[0.63875071]],False
42,[[0.63875071]],2,0,[[3.20870019e-10]],False
43,[[3.20870019e-10]],2,0,[[0.00543222]],False
44,[[0.00543222]],2,0,[[0.99999998]],False
45,[[0.99999998]],2,0,[[0.99999851]],False
46,[[0.99999851]],2,0,[[1.0334835e-05]],False
47,[[1.0334835e-05]],2,0,[[0.99998686]],False
48,[[0.99998686]],2,0,[[0.00411092]],False
49,[[0.00411092]],2,0,[[0.0001139]],False
50,[[0.0001139]],2,0,[[0.99971989]],False
51,[[0.99971989]],2,0,[[2.12882978e-06]],False
52,[[2.12882978e-06]],2,0,[[0.02874794]],False
53,[[0.02874794]],2,0,[[0.9998122]],False
54,[[0.9998122]],2,0,[[0.9999996]],False
55,[[0.9999996]],2,0,[[0.99999811]],False
56,[[0.99999811]],2,0,[[0.99541333]],False
57,[[0.99541333]],2,0,[[0.10621461]],False
58,[[0.10621461]],2,0,[[5.19856186e-11]],False
59,[[5.19856186e-11]],2,0,[[1.9607731e-09]],False
60,[[1.9607731e-09]],2,0,[[0.99901307]],False
61,[[0.99901307]],2,0,[[1.]],False
62,[[1.]],2,0,[[1.04482414e-17]],False
63,[[1.04482414e-17]],2,0,[[2.80293117e-08]],False
64,[[2.80293117e-08]],2,0,[[0.99999967]],False
65,[[0.99999967]],2,0,[[0.99999576]],False
66,[[0.99999576]],2,0,[[1.]],False
67,[[1.]],2,0,[[0.9268932]],False
68,[[0.9268932]],2,0,[[0.99912467]],False
69,[[0.99912467]],2,0,[[0.99952893]],False
70,[[0.99952893]],2,0,[[0.01536719]],False
71,[[0.01536719]],2,0,[[0.96157891]],False
72,[[0.96157891]],2,0,[[2.47969211e-07]],False
73,[[2.47969211e-07]],2,0,[[0.99760035]],False
74,[[0.99760035]],2,0,[[0.99986362]],False
75,[[0.99986362]],2,0,[[0.99638843]],False
76,[[0.99638843]],2,0,[[0.43293238]],False
77,[[0.43293238]],2,0,[[0.07309853]],False
78,[[0.07309853]],2,0,[[0.97125203]],False
79,[[0.97125203]],2,0,[[4.39566004e-08]],False
80,[[4.39566004e-08]],2,0,[[0.99997219]],False
81,[[0.99997219]],2,0,[[0.07043961]],False
82,[[0.07043961]],2,0,[[0.94531739]],False
83,[[0.94531739]],1,0,[[0.99999999]],False
84,[[0.99999999]],1,0,[[0.68995887]],False
85,[[0.68995887]],2,18.969970999999987,[[0.00013368]],False
86,[[0.00013368]],2,0,[[2.09725159e-08]],False
87,[[2.09725159e-08]],2,0,[[0.99909801]],False
88,[[0.99909801]],2,0,[[0.99926871]],False
89,[[0.99926871]],2,0,[[4.78509449e-06]],False
90,[[4.78509449e-06]],2,0,[[0.99999975]],False
91,[[0.99999975]],2,0,[[0.98856936]],False
92,[[0.98856936]],2,0,[[0.99967781]],False
93,[[0.99967781]],2,0,[[0.99998858]],False
94,[[0.99998858]],2,0,[[0.10621452]],False
95,[[0.10621452]],2,0,[[0.99996464]],False
96,[[0.99996464]],2,0,[[0.97180244]],False
97,[[0.97180244]],2,0,[[0.80218786]],False
98,[[0.80218786]],2,0,[[0.3251989]],False
99,[[0.3251989]],2,0,[[0.97441959]],False
100,[[0.97441959]],2,0,[[0.99999656]],False
101,[[0.99999656]],2,0,[[0.99987411]],False
102,[[0.99987411]],2,0,[[0.86177114]],False
103,[[0.86177114]],2,0,[[0.38225661]],False
104,[[0.38225661]],2,0,[[0.00100675]],False
105,[[0.00100675]],2,0,[[1.03611643e-06]],False
106,[[1.03611643e-06]],2,0,[[0.9976478]],False
107,[[0.9976478]],2,0,[[0.83479444]],False
108,[[0.83479444]],2,0,[[0.98537026]],False
109,[[0.98537026]],2,0,[[0.99999969]],False
110,[[0.99999969]],2,0,[[0.92414182]],False
111,[[0.92414182]],2,0,[[0.96739102]],False
112,[[0.96739102]],2,0,[[0.43536125]],False
113,[[0.43536125]],2,0,[[3.27233005e-06]],False
114,[[3.27233005e-06]],2,0,[[0.99992881]],False
115,[[0.99992881]],2,0,[[0.09029338]],False
116,[[0.09029338]],2,0,[[0.97679684]],False
117,[[0.97679684]],2,0,[[0.3251989]],False
118,[[0.3251989]],2,0,[[0.99999793]],False
119,[[0.99999793]],2,0,[[0.78584323]],False
120,[[0.78584323]],2,0,[[0.99998]],False
121,[[0.99998]],2,0,[[0.00041372]],False
122,[[0.00041372]],2,0,[[8.8289118e-07]],False
123,[[8.8289118e-07]],2,0,[[0.99989056]],False
124,[[0.99989056]],2,0,[[0.00028868]],False
125,[[0.00028868]],2,0,[[0.94734449]],False
126,[[0.94734449]],2,0,[[0.99992737]],False
127,[[0.99992737]],2,0,[[0.0214584]],False
128,[[0.0214584]],2,0,[[0.99974903]],False
129,[[0.99974903]],2,0,[[6.54358397e-11]],False
130,[[6.54358397e-11]],2,0,[[1.]],False
131,[[1.]],2,0,[[0.01005115]],False
132,[[0.01005115]],2,0,[[0.99994983]],False
133,[[0.99994983]],2,0,[[0.97011277]],False
134,[[0.97011277]],2,0,[[0.72511352]],False
135,[[0.72511352]],2,0,[[6.50679096e-05]],False
136,[[6.50679096e-05]],2,0,[[0.63877887]],False
137,[[0.63877887]],2,0,[[0.00012842]],False
138,[[0.00012842]],2,0,[[0.52996281]],False
139,[[0.52996281]],2,0,[[7.74176482e-18]],False
140,[[7.74176482e-18]],2,0,[[0.00398979]],False
141,[[0.00398979]],2,0,[[0.99999902]],False
142,[[0.99999902]],2,0,[[6.98131176e-09]],False
143,[[6.98131176e-09]],2,0,[[0.50750669]],False
144,[[0.50750669]],2,0,[[2.32299717e-05]],False
145,[[2.32299717e-05]],2,0,[[1.]],False
146,[[1.]],2,0,[[0.99517966]],False
147,[[0.99517966]],2,0,[[0.04030871]],False
148,[[0.04030871]],2,0,[[0.99999767]],False
149,[[0.99999767]],2,0,[[0.99978829]],False
150,[[0.99978829]],2,0,[[0.47003719]],False
151,[[0.47003719]],2,0,[[0.99999994]],False
152,[[0.99999994]],2,0,[[0.99994778]],False
153,[[0.99994778]],2,0,[[0.99268171]],False
154,[[0.99268171]],2,0,[[0.99715682]],False
155,[[0.99715682]],2,0,[[0.01852435]],False
156,[[0.01852435]],2,0,[[0.99992664]],False
157,[[0.99992664]],2,0,[[0.89090085]],False
158,[[0.89090085]],2,0,[[0.52497295]],False
159,[[0.52497295]],2,0,[[0.03292624]],False
160,[[0.03292624]],2,0,[[0.99868158]],False
